Model,Make,Year,vehicle_age,Kilometres,BodyType,engine_displacement,cylinder_count,Transmission,Drivetrain,FuelType,City,Highway,avg_fuel_efficiency,Price,model_frequency,model_frequency_log
MDX,Acura,2019,6.0,53052.0,SUV,3.5,6.0,9 SPEED AUTOMATIC,AWD,Gasoline,12.199999809265137,9.0,10.599999904632568,43880.0,88,4.48863636973214
MDX,Acura,2018,7.0,77127.0,SUV,3.5,6.0,9 SPEED AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,36486.0,88,4.48863636973214
RDX,Acura,2020,5.0,50702.0,SUV,2.0,4.0,AUTOMATIC,AWD,Gasoline,11.0,8.600000381469727,9.800000190734863,44599.0,93,4.543294782270004
RDX,Acura,2021,4.0,67950.0,SUV,2.0,4.0,AUTOMATIC,AWD,Gasoline,11.300000190734863,9.100000381469727,10.200000286102295,46989.0,93,4.543294782270004
MDX,Acura,2022,3.0,31000.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.399999618530273,11.0,60899.0,88,4.48863636973214
TLX,Acura,2019,6.0,34396.0,Sedan,3.5,6.0,9 SPEED AUTOMATIC,AWD,Premium Unleaded,11.399999618530273,7.699999809265137,9.549999713897705,36499.0,56,4.04305126783455
TSX,Acura,2009,16.0,123535.0,Sedan,2.5,4.0,6 SPEED MANUAL,FWD,Gasoline,10.5,7.0,8.75,11500.0,13,2.6390573296152584
TLX,Acura,2015,10.0,192552.0,Sedan,3.5,6.0,AUTOMATIC,FWD,Gasoline,9.600000381469727,6.599999904632568,8.100000143051147,14888.0,56,4.04305126783455
TLX,Acura,2015,10.0,163537.0,Sedan,3.5,6.0,9 SPEED AUTOMATIC,AWD,Gasoline,11.199999809265137,7.5,9.349999904632568,14971.0,56,4.04305126783455
RDX,Acura,2016,9.0,179301.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.399999618530273,8.600000381469727,10.5,16399.0,93,4.543294782270004
RDX,Acura,2017,8.0,211000.0,SUV,2.0,4.0,AUTOMATIC,AWD,Gasoline,12.399999618530273,8.699999809265137,10.549999713897705,18999.0,93,4.543294782270004
ILX,Acura,2016,9.0,104368.0,Sedan,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,9.300000190734863,6.599999904632568,7.950000047683716,20295.0,29,3.4011973816621555
MDX,Acura,2015,10.0,205000.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.100000381469727,10.850000381469727,20885.0,88,4.48863636973214
RDX,Acura,2017,8.0,166813.0,SUV,2.0,6.0,AUTOMATIC,AWD,Gasoline,12.399999618530273,8.699999809265137,10.549999713897705,20950.0,93,4.543294782270004
MDX,Acura,2016,9.0,207000.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.699999809265137,9.100000381469727,10.900000095367432,20995.0,88,4.48863636973214
ILX,Acura,2019,6.0,66208.0,Sedan,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,9.899999618530273,7.0,8.449999809265137,22890.0,29,3.4011973816621555
MDX,Acura,2016,9.0,174000.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.699999809265137,9.100000381469727,10.900000095367432,22990.0,88,4.48863636973214
MDX,Acura,2017,8.0,158248.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,25888.0,88,4.48863636973214
MDX,Acura,2016,9.0,89542.0,SUV,3.5,6.0,9 SPEED AUTOMATIC,AWD,Premium Unleaded,12.699999809265137,9.100000381469727,10.900000095367432,28000.0,88,4.48863636973214
TLX,Acura,2019,6.0,92276.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,28295.0,56,4.04305126783455
RDX,Acura,2018,7.0,104000.0,SUV,2.0,6.0,AUTOMATIC,AWD,Gasoline,12.399999618530273,8.699999809265137,10.549999713897705,28450.0,93,4.543294782270004
TLX,Acura,2019,6.0,58610.0,Sedan,2.4000000953674316,6.0,AUTOMATIC,FWD,Gasoline,10.0,7.099999904632568,8.549999952316284,28495.0,56,4.04305126783455
RDX,Acura,2017,8.0,71960.0,SUV,2.0,6.0,6 SPEED AUTOMATIC,AWD,Gasoline,12.399999618530273,8.699999809265137,10.549999713897705,28990.0,93,4.543294782270004
TLX,Acura,2019,6.0,89000.0,Sedan,3.5,6.0,8 SPEED AUTOMATIC,FWD,Gasoline,10.0,7.099999904632568,8.549999952316284,29850.0,56,4.04305126783455
ILX,Acura,2020,5.0,36253.0,Sedan,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,9.899999618530273,7.0,8.449999809265137,29998.0,29,3.4011973816621555
TLX,Acura,2019,6.0,62000.0,Sedan,3.5,6.0,AUTOMATIC,FWD,Gasoline,10.0,7.099999904632568,8.549999952316284,30950.0,56,4.04305126783455
TLX,Acura,2020,5.0,52337.0,Sedan,3.5,6.0,9 SPEED AUTOMATIC,AWD,Premium Unleaded,12.0,8.199999809265137,10.099999904632568,39799.0,56,4.04305126783455
RDX,Acura,2018,7.0,69806.0,SUV,3.5,4.0,6 SPEED AUTOMATIC,AWD,Premium Unleaded,12.399999618530273,8.699999809265137,10.549999713897705,31249.0,93,4.543294782270004
ILX,Acura,2019,6.0,48752.0,Sedan,2.4000000953674316,4.0,AUTOMATIC,FWD,Gasoline,9.899999618530273,7.0,8.449999809265137,31495.0,29,3.4011973816621555
TLX,Acura,2019,6.0,53420.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,31495.0,56,4.04305126783455
TLX,Acura,2020,5.0,134000.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,32450.0,56,4.04305126783455
TLX,Acura,2019,6.0,27630.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,32495.0,56,4.04305126783455
TLX,Acura,2019,6.0,82000.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.0,8.199999809265137,10.099999904632568,32950.0,56,4.04305126783455
TLX,Acura,2019,6.0,29012.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,33295.0,56,4.04305126783455
TLX,Acura,2019,6.0,23216.0,Sedan,3.5,6.0,AUTOMATIC,AWD,Gasoline,11.399999618530273,7.699999809265137,9.549999713897705,33295.0,56,4.04305126783455
RDX,Acura,2020,5.0,39100.0,SUV,2.0,4.0,10 SPEED AUTOMATIC,AWD,Gasoline,11.300000190734863,9.100000381469727,10.200000286102295,44988.0,93,4.543294782270004
MDX,Acura,2017,8.0,65522.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,33390.0,88,4.48863636973214
MDX,Acura,2017,8.0,91412.0,SUV,3.5,6.0,9 SPEED AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,33994.0,88,4.48863636973214
MDX,Acura,2018,7.0,118800.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,34488.0,88,4.48863636973214
MDX,Acura,2019,6.0,141120.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.199999809265137,9.0,10.599999904632568,34880.0,88,4.48863636973214
MDX,Acura,2018,7.0,98000.0,SUV,3.5,6.0,AUTOMATIC,AWD,Gasoline,12.600000381469727,9.0,10.800000190734863,34950.0,88,4.48863636973214
RLX,Acura,2018,7.0,115527.0,Sedan,2.5,6.0,AUTOMATIC,AWD,Gasoline,8.399999618530273,8.199999809265137,8.299999713897705,34998.0,3,1.3862943611198906
